policy,task,mode,successes,included,sr_pct,recorded,recorded_successes,completed_blocks,expected_blocks,complete
dm05,stack_sequence,blue>red>green,0,20,0.0,20,0,20,20,True
dm05,stack_sequence,blue>green>red,0,20,0.0,20,0,20,20,True
dm05,place_relative,left,12,20,60.0,20,12,20,20,True
dm05,place_relative,right,8,20,40.0,20,8,20,20,True
dm05,place_relative,on_top,0,20,0.0,20,0,20,20,True
hy_vla,bottle_verb,pick,0,20,0.0,20,0,20,20,True
hy_vla,bottle_verb,shake,20,20,100.0,20,20,20,20,True
hy_vla,pick_diverse_object,seen,7,20,35.0,20,7,20,20,True
hy_vla,pick_diverse_object,unseen,4,20,20.0,20,4,20,20,True
hy_vla,attribute_select,color:red,20,20,100.0,20,20,20,20,True
hy_vla,attribute_select,color:blue,16,20,80.0,20,16,20,20,True
hy_vla,attribute_select,decal:cat,17,20,85.0,20,17,20,20,True
hy_vla,attribute_select,decal:dog,18,20,90.0,20,18,20,20,True
hy_vla,attribute_select,shape:block,14,20,70.0,20,14,20,20,True
hy_vla,attribute_select,shape:bar,20,20,100.0,20,20,20,20,True
hy_vla,attribute_select,size:big,18,20,90.0,20,18,20,20,True
hy_vla,attribute_select,size:small,20,20,100.0,20,20,20,20,True
hy_vla,arm_select,left,7,20,35.0,20,7,20,20,True
hy_vla,arm_select,right,12,20,60.0,20,12,20,20,True
hy_vla,stack_sequence,red>green>blue,15,20,75.0,20,15,20,20,True
hy_vla,stack_sequence,red>blue>green,0,20,0.0,20,0,20,20,True
hy_vla,stack_sequence,green>red>blue,0,20,0.0,20,0,20,20,True
hy_vla,stack_sequence,green>blue>red,0,20,0.0,20,0,20,20,True
hy_vla,stack_sequence,blue>red>green,0,20,0.0,20,0,20,20,True
hy_vla,stack_sequence,blue>green>red,0,20,0.0,20,0,20,20,True
hy_vla,place_relative,left,2,20,10.0,20,2,20,20,True
hy_vla,place_relative,right,5,20,25.0,20,5,20,20,True
hy_vla,place_relative,on_top,0,20,0.0,20,0,20,20,True
