policy,task,block_index,seed,mode,status,success,action_calls,step_limit,termination,instruction,origin,record_path,record_sha256
xvla,place_relative,9,100057,front,failure,0,400,400,action_limit,"Use the left arm to pick up the green toycar, set it in front of the red tea-box",reused,xvla/place_relative/place_relative_ep100057_result.json,e1fce52f3fd2b897e2e95e02fff5a7d87d7a3dfda11557c789bd0b301115fce4
xvla,place_relative,9,100058,back,failure,0,400,400,action_limit,Use the left arm to grab the green toycar and place it behind the red tea-box,reused,xvla/place_relative/place_relative_ep100058_result.json,75639f5bf8f418b0acfc540cdbe79d5e844bdd64f1cc8f7bc5b70fbed38f3819
xvla,place_relative,10,100062,front,failure,0,400,400,action_limit,Relocate the red stapler in front of the red tea-box,reused,xvla/place_relative/place_relative_ep100062_result.json,ffbdb24d8f59f5583cacfde6bd98ab1fd0f77efa2615d68edc7495dce42de9ad
xvla,place_relative,10,100063,back,failure,0,400,400,action_limit,"Use the left arm to pick up the red stapler, set it behind the red tea-box",reused,xvla/place_relative/place_relative_ep100063_result.json,51b5f7eeb6b098a2c6c2ecfd3b06c9a215fe3ff52ae70af5fc9752a89e13a951
xvla,place_relative,11,100067,front,failure,0,400,400,action_limit,Pick up the black remotecontrol and move it in front of the red tea-box,reused,xvla/place_relative/place_relative_ep100067_result.json,3de04a763520f43afb86f0229b53ec9eea0ea2fe6e0d1e73dc607f98ea2fe0ca
xvla,place_relative,11,100068,back,failure,0,400,400,action_limit,Use the left arm to grab the black remotecontrol and place it behind the red tea-box,reused,xvla/place_relative/place_relative_ep100068_result.json,ed769e42e9c7f130dc237627f501fd2c1d79359e89bc07aaca2fde98ffe3e865
xvla,place_relative,12,100072,front,failure,0,400,400,action_limit,Grab the red can and set it in front of the red tea-box,new,xvla/place_relative/place_relative_ep100072_result.json,8449be0a66432cea78311d3750bcc2fd5b3114965906c8b1125673a28b339a97
xvla,place_relative,12,100073,back,failure,0,400,400,action_limit,Lift the red can and set it behind the red tea-box,new,xvla/place_relative/place_relative_ep100073_result.json,d8723fe81b3c55169f525f05bd323cd67b28dd09e3992f5a2f3feacf30b5a0f4
xvla,place_relative,13,100077,front,failure,0,400,400,action_limit,Lift the blue soap and set it in front of the red tea-box,new,xvla/place_relative/place_relative_ep100077_result.json,fbb8788846b5498c508b0c72019c6a7e24f849068c6a806e9c11060b8a9dde60
xvla,place_relative,13,100078,back,failure,0,400,400,action_limit,Pick up the blue soap and move it behind the red tea-box,new,xvla/place_relative/place_relative_ep100078_result.json,0c01b04278ace4790125fa6b5ad682cd7298375b306c4663b91372fe4bc8d535
xvla,place_relative,14,100082,front,failure,0,400,400,action_limit,"Use the left arm to pick up the gray mouse, set it in front of the brown coffee-box",new,xvla/place_relative/place_relative_ep100082_result.json,b8a0d60480e7848c1cff470fe49a7713c9fc4d38a55cc4b472084c5958a12855
xvla,place_relative,14,100083,back,failure,0,400,400,action_limit,Use the left arm to grab the gray mouse and place it behind the brown coffee-box,new,xvla/place_relative/place_relative_ep100083_result.json,5c2dec8955aac1e5b9d00bb687d6c34d37de84f16a50baf4dec6a0e1ed4d99ec
xvla,place_relative,15,100087,front,failure,0,400,400,action_limit,Grab the green toycar and set it in front of the brown coffee-box,new,xvla/place_relative/place_relative_ep100087_result.json,bbe77a7d1880f5779f29071536a2e71c70a17b26ac8e4c4cc9d7a8f477b8ba91
xvla,place_relative,15,100088,back,failure,0,400,400,action_limit,Pick up the green toycar and move it behind the brown coffee-box,new,xvla/place_relative/place_relative_ep100088_result.json,48864fe3595064f0029701fdeec45abba03407a3393131b3e41e69cc643c0a0f
xvla,place_relative,16,100097,front,failure,0,400,400,action_limit,Lift the black remotecontrol and set it in front of the brown coffee-box,new,xvla/place_relative/place_relative_ep100097_result.json,033b7fae7087f7c0db1fab9221269b38fdd9df39ff79a07613b4c5fc23d93e74
xvla,place_relative,16,100098,back,failure,0,400,400,action_limit,Use the right arm to grab the black remotecontrol and place it behind the brown coffee-box,new,xvla/place_relative/place_relative_ep100098_result.json,5312a7803d704f44553852b80d1910e620445b6cc3d183872c5ab8c1f6eb794a
xvla,place_relative,17,100102,front,failure,0,400,400,action_limit,Use the right arm to grab the red can and place it in front of the brown coffee-box,new,xvla/place_relative/place_relative_ep100102_result.json,c83aa8ed714b37e1f388d3ca90d683ec0efde811f8a2bb6f35b50c9c0c5bbd8b
xvla,place_relative,17,100103,back,failure,0,400,400,action_limit,Pick up the red can and move it behind the brown coffee-box,new,xvla/place_relative/place_relative_ep100103_result.json,97a231c5f1f60494b038c09f169aa846b9ffe4cdd7f156127070fa6b4ca402c9
xvla,place_relative,18,100107,front,failure,0,400,400,action_limit,Use the right arm to grab the blue soap and place it in front of the brown coffee-box,new,xvla/place_relative/place_relative_ep100107_result.json,2f5baaf67c7a80f241ccc27c16abfb283d8846269a13c1574b3c07a04680327c
xvla,place_relative,18,100108,back,failure,0,400,400,action_limit,Grab the blue soap and set it behind the brown coffee-box,new,xvla/place_relative/place_relative_ep100108_result.json,99a1fb3f486e7aa301562c3246928c1a95f7a70ff1beabaa5bbe29f9ad42c76c
xvla,place_relative,19,100112,front,failure,0,400,400,action_limit,Relocate the gray mouse in front of the red tea-box,new,xvla/place_relative/place_relative_ep100112_result.json,c51e1b4b5052d096136fbd18df7d060e1aed53f1eab21dc8cbb52899345e06e8
xvla,place_relative,19,100113,back,failure,0,400,400,action_limit,Lift the gray mouse and set it behind the red tea-box,new,xvla/place_relative/place_relative_ep100113_result.json,2d0012778f812257eabf9195cfa5c06862ee8e1d80fb4b0b1147165e8a29c3ec
lingbot_va,place_relative,0,100007,front,failure,0,400,400,action_limit,Use the right arm to grab the black remotecontrol and place it in front of the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100007_result.json,d92044c38fd6dd07d29a067bab95c7ef878b780a2bf55557f809c34f5c5d2d94
lingbot_va,place_relative,0,100008,back,failure,0,400,400,action_limit,Pick up the black remotecontrol and move it behind the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100008_result.json,39f1b662e10c4c1df6e1f966930d87234f6a77b60e835296be63ab961feba832
lingbot_va,place_relative,1,100012,front,failure,0,400,400,action_limit,Grab the red can and set it in front of the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100012_result.json,79638758b4b572bfbce7dd4fe8d5a34a82a5dd215882721fa7ea4b92b277f9ae
lingbot_va,place_relative,1,100013,back,failure,0,400,400,action_limit,Grab the red can and set it behind the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100013_result.json,5a3a918b4d80e45c67a787aae8b02d8c0cea0807a4e9517976c536090ffd4f20
lingbot_va,place_relative,2,100017,front,failure,0,400,400,action_limit,Lift the blue soap and set it in front of the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100017_result.json,3273dd368535de48944c30cfdf2c10c7552a8807e15c78b123699116a513ee38
lingbot_va,place_relative,2,100018,back,failure,0,400,400,action_limit,Pick up the blue soap and move it behind the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100018_result.json,2358db9fc89f92307dbc73422280ffa4152700e330e946ae4a65b39e92f31a4e
lingbot_va,place_relative,3,100022,front,failure,0,400,400,action_limit,Relocate the gray mouse in front of the brown coffee-box,reused,lingbot_va/place_relative/place_relative_ep100022_result.json,9ccf1eba88d891c51d098532ff84fcb6a8d106cad11288401a12814d7877d86c
lingbot_va,place_relative,3,100023,back,failure,0,400,400,action_limit,Use the left arm to grab the gray mouse and place it behind the brown coffee-box,reused,lingbot_va/place_relative/place_relative_ep100023_result.json,627898d3f3cf2a76d9437820a7b61f3bf460a0c9b7f72ccd1dd3321b711a42d4
lingbot_va,place_relative,4,100027,front,failure,0,400,400,action_limit,Use the left arm to grab the green toycar and place it in front of the brown coffee-box,reused,lingbot_va/place_relative/place_relative_ep100027_result.json,c11f98026cad0e84caf33b19041ebbe07417560472b298ea2180e937e37814c9
lingbot_va,place_relative,4,100028,back,failure,0,400,400,action_limit,Grab the green toycar and set it behind the brown coffee-box,reused,lingbot_va/place_relative/place_relative_ep100028_result.json,b56be9f1c2b3c9624939be25b7f8fdfd72a2852d01a13664a6143247e3e1bcaa
lingbot_va,place_relative,5,100032,front,failure,0,400,400,action_limit,Grab the red stapler and set it in front of the brown coffee-box,reused,lingbot_va/place_relative/place_relative_ep100032_result.json,ac6c597f3c61cb442f35f9eb0e25036044e720709c2033b3589e2ae499671a54
lingbot_va,place_relative,5,100033,back,failure,0,400,400,action_limit,"Use the right arm to pick up the red stapler, set it behind the brown coffee-box",reused,lingbot_va/place_relative/place_relative_ep100033_result.json,cdc8dca2ebbf7c829be3f5cf7bcd2ce6cb3faf2c3b9729dee77a79c711e99bec
lingbot_va,place_relative,6,100042,front,failure,0,400,400,action_limit,"Use the left arm to pick up the red can, set it in front of the brown coffee-box",reused,lingbot_va/place_relative/place_relative_ep100042_result.json,03ce0939c0a07cde7102c7e747c0fdaa99a0adc59b379664423e6c0e6344c216
lingbot_va,place_relative,6,100043,back,failure,0,400,400,action_limit,Use the left arm to grab the red can and place it behind the brown coffee-box,reused,lingbot_va/place_relative/place_relative_ep100043_result.json,e36eee0f97606835707a34612757db5783d07d984661a546d00c1574388df968
lingbot_va,place_relative,7,100047,front,failure,0,400,400,action_limit,Use the left arm to grab the blue soap and place it in front of the brown coffee-box,reused,lingbot_va/place_relative/place_relative_ep100047_result.json,b81e69442353f2cee68674ab341f7ba199a3633b3e6766513bc0d0246fe1ed56
lingbot_va,place_relative,7,100048,back,failure,0,400,400,action_limit,Grab the blue soap and set it behind the brown coffee-box,reused,lingbot_va/place_relative/place_relative_ep100048_result.json,928b17e719c3732513f14a97cc3dceccdd3da6e6d425b1576d8c39238a36fe44
lingbot_va,place_relative,8,100052,front,failure,0,400,400,action_limit,Use the right arm to grab the gray mouse and place it in front of the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100052_result.json,dba0309c3c7ed3b0044512e84281886472f766a9c976eb438c1a5540b1bbd8d4
lingbot_va,place_relative,8,100053,back,failure,0,400,400,action_limit,Use the right arm to grab the gray mouse and place it behind the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100053_result.json,c2ccc4d96b46c32a6354270ef2a6854733175bae9c4280cc7075012fdcdbc41a
lingbot_va,place_relative,9,100057,front,failure,0,400,400,action_limit,"Use the left arm to pick up the green toycar, set it in front of the red tea-box",reused,lingbot_va/place_relative/place_relative_ep100057_result.json,55be6615e337336e41a5d924a006f9caa44c0fafa2e2bbf6200fda7f34ff9d61
lingbot_va,place_relative,9,100058,back,failure,0,400,400,action_limit,Use the left arm to grab the green toycar and place it behind the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100058_result.json,79e34c1dbc41e2f1ce2e9eb40761a2b67f1fe1ae3bb7a3623fc9a5a05d5f0e37
lingbot_va,place_relative,10,100062,front,failure,0,400,400,action_limit,Relocate the red stapler in front of the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100062_result.json,9056e87a1f00dcd8febf6cf15b669a2ae1964d7a6551f2b89f78e9f15760e360
lingbot_va,place_relative,10,100063,back,failure,0,400,400,action_limit,"Use the left arm to pick up the red stapler, set it behind the red tea-box",reused,lingbot_va/place_relative/place_relative_ep100063_result.json,44601d4af0d29ee5f7c84564084400d161248a6185cfeb7dfefcf274f4f282ee
lingbot_va,place_relative,11,100067,front,failure,0,400,400,action_limit,Pick up the black remotecontrol and move it in front of the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100067_result.json,5cbc87614f42f87177375de976f81b4782d9264f070aef3497f602f2184f0055
lingbot_va,place_relative,11,100068,back,failure,0,400,400,action_limit,Use the left arm to grab the black remotecontrol and place it behind the red tea-box,reused,lingbot_va/place_relative/place_relative_ep100068_result.json,1045d96ca0d117fc23d2afe4709a4fa18c6bbacf2d9a06161808a61bbf200d0d
lingbot_va,place_relative,12,100072,front,failure,0,400,400,action_limit,Grab the red can and set it in front of the red tea-box,new,lingbot_va/place_relative/place_relative_ep100072_result.json,ced6e67297293d87da431e7d36e384d993f56b814382cc88b57425124850e288
lingbot_va,place_relative,12,100073,back,failure,0,400,400,action_limit,Lift the red can and set it behind the red tea-box,new,lingbot_va/place_relative/place_relative_ep100073_result.json,91ea718469ba3faa682e4948cc4943d9eb3f9c3901f4f2a2da79a393fe7050f9
lingbot_va,place_relative,13,100077,front,failure,0,400,400,action_limit,Lift the blue soap and set it in front of the red tea-box,new,lingbot_va/place_relative/place_relative_ep100077_result.json,d66c85dc2c4316c0b8fff32803a6cb04f612908a8e647ef3a5d3a5f4880ba730
lingbot_va,place_relative,13,100078,back,failure,0,400,400,action_limit,Pick up the blue soap and move it behind the red tea-box,new,lingbot_va/place_relative/place_relative_ep100078_result.json,f454fff960e286dd6e0d899c1424e2839674b1e5e7f0c5afc497e2348cf11175
lingbot_va,place_relative,14,100082,front,failure,0,400,400,action_limit,"Use the left arm to pick up the gray mouse, set it in front of the brown coffee-box",new,lingbot_va/place_relative/place_relative_ep100082_result.json,bd6eea8e1cb8d78ae55bc2cab8d86c10bb9962fd5375d9ab3b90f593a2da4273
lingbot_va,place_relative,14,100083,back,failure,0,400,400,action_limit,Use the left arm to grab the gray mouse and place it behind the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100083_result.json,058aa64faa0092331b9c2f91d63ab9bcae3c5c607fabc27a7855b2f4e075d583
lingbot_va,place_relative,15,100087,front,failure,0,400,400,action_limit,Grab the green toycar and set it in front of the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100087_result.json,8a7847cd5071e36ccf2ab2f5dee5abca94a3a335fb43e673c9e5f0dcc67aea5d
lingbot_va,place_relative,15,100088,back,failure,0,400,400,action_limit,Pick up the green toycar and move it behind the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100088_result.json,c537f8223658fa1d2ae3a34c529f30b5745e10448056f994cfc4cbc9adfa64e7
lingbot_va,place_relative,16,100097,front,failure,0,400,400,action_limit,Lift the black remotecontrol and set it in front of the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100097_result.json,b0ea8e95c0d8f5c5361b8d7edafe35565e379864c2593c4f2be44631ee64ee6a
lingbot_va,place_relative,16,100098,back,failure,0,400,400,action_limit,Use the right arm to grab the black remotecontrol and place it behind the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100098_result.json,0ff184d66e060912410e0e9ab6f4a51497a19812d1ecbec7fbb39c9d0988378f
lingbot_va,place_relative,17,100102,front,failure,0,400,400,action_limit,Use the right arm to grab the red can and place it in front of the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100102_result.json,ba87939d32d3c7bb62801baa1dd1407f1136df74e86082b0ccf4d25c5e9aecec
lingbot_va,place_relative,17,100103,back,failure,0,400,400,action_limit,Pick up the red can and move it behind the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100103_result.json,7c45a06bed2fde43430725e6d724fa6d9710476e20bdd04b0de31737aceb85a3
lingbot_va,place_relative,18,100107,front,failure,0,400,400,action_limit,Use the right arm to grab the blue soap and place it in front of the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100107_result.json,2c07d6991c91610aa831b996363fbfeebb75c99e14a1ed27db11ffe70355d69e
lingbot_va,place_relative,18,100108,back,failure,0,400,400,action_limit,Grab the blue soap and set it behind the brown coffee-box,new,lingbot_va/place_relative/place_relative_ep100108_result.json,be0070735537f22a21e63fd0e2b808056f554df1e7c01d67fc8e2eb3a0c30df9
lingbot_va,place_relative,19,100112,front,failure,0,400,400,action_limit,Relocate the gray mouse in front of the red tea-box,new,lingbot_va/place_relative/place_relative_ep100112_result.json,d27599c177397cc886c9c396aa2a0281f63893776ea82e3d30cc99e39166cdd2
lingbot_va,place_relative,19,100113,back,failure,0,400,400,action_limit,Lift the gray mouse and set it behind the red tea-box,new,lingbot_va/place_relative/place_relative_ep100113_result.json,ec414a1d91531cf706741457b142e6b4538b729d5140cb8ef3407ba2fbe9cc78
lingbot_vla,place_relative,0,100007,front,failure,0,400,400,action_limit,Use the right arm to grab the black remotecontrol and place it in front of the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100007_result.json,c2842ab0035f6ef4bb36ae9bf13675b76ad7cf02edbe9ad7bda4279e87503fd7
lingbot_vla,place_relative,0,100008,back,failure,0,400,400,action_limit,Pick up the black remotecontrol and move it behind the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100008_result.json,e702046957be494795e14da2eb8b39670f2a258904d3bab2c1a49899d436ae05
lingbot_vla,place_relative,1,100012,front,failure,0,400,400,action_limit,Grab the red can and set it in front of the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100012_result.json,8cccce245621f1b5c7d9477b1d312692a724360247e38b44be117d103d8134fa
lingbot_vla,place_relative,1,100013,back,failure,0,400,400,action_limit,Grab the red can and set it behind the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100013_result.json,b529c18c6a8019a769ddcb1a79a7aaed09450d6a584e6c713d758c70783c1f98
lingbot_vla,place_relative,2,100017,front,failure,0,400,400,action_limit,Lift the blue soap and set it in front of the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100017_result.json,e239785536d92388f728069a7547205c3c2e96788b54d97733f796ca2975281a
lingbot_vla,place_relative,2,100018,back,failure,0,400,400,action_limit,Pick up the blue soap and move it behind the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100018_result.json,8b6b4bb0a071870ca622d79bb6f5bb7d1a24b2d81b3feb602b436dbde90b00b6
lingbot_vla,place_relative,3,100022,front,failure,0,400,400,action_limit,Relocate the gray mouse in front of the brown coffee-box,reused,lingbot_vla/place_relative/place_relative_ep100022_result.json,55795ac2590b9b66697cd828e8f8c3d0905c9f7c7c071d3a96a2e094b69fc552
lingbot_vla,place_relative,3,100023,back,failure,0,400,400,action_limit,Use the left arm to grab the gray mouse and place it behind the brown coffee-box,reused,lingbot_vla/place_relative/place_relative_ep100023_result.json,731e65895c141fb7a628a48159dec8ac6c94c13af139604c5e737edbfc8ee1f7
lingbot_vla,place_relative,4,100027,front,failure,0,400,400,action_limit,Use the left arm to grab the green toycar and place it in front of the brown coffee-box,reused,lingbot_vla/place_relative/place_relative_ep100027_result.json,0ac9bdb66d60141d5be8e957331e9a9bd42982ea0ac1ff1407b8d03f50397cad
lingbot_vla,place_relative,4,100028,back,failure,0,400,400,action_limit,Grab the green toycar and set it behind the brown coffee-box,reused,lingbot_vla/place_relative/place_relative_ep100028_result.json,02dd5301a30adbee8db57e81efdde01b985be0449cf8b4bd2f5663f0b3aed98b
lingbot_vla,place_relative,5,100032,front,failure,0,400,400,action_limit,Grab the red stapler and set it in front of the brown coffee-box,reused,lingbot_vla/place_relative/place_relative_ep100032_result.json,361ec93f39820c4a096635f315fd24011a930493d832c85fd4c733a0b30150ca
lingbot_vla,place_relative,5,100033,back,failure,0,400,400,action_limit,"Use the right arm to pick up the red stapler, set it behind the brown coffee-box",reused,lingbot_vla/place_relative/place_relative_ep100033_result.json,bb66a2a7786a2e7922cd30d2b27365c8a11c087ecba240e9b841cd047fc6897d
lingbot_vla,place_relative,6,100042,front,failure,0,400,400,action_limit,"Use the left arm to pick up the red can, set it in front of the brown coffee-box",reused,lingbot_vla/place_relative/place_relative_ep100042_result.json,bee34f5fb794f2c4a583e4abc6d4e1e18463501bed2f16aac79837626607431f
lingbot_vla,place_relative,6,100043,back,failure,0,400,400,action_limit,Use the left arm to grab the red can and place it behind the brown coffee-box,reused,lingbot_vla/place_relative/place_relative_ep100043_result.json,01762818bf96df6d8c3fd0c2dedd51c6cf92bb4ca939d11b78d1d8548bd9713c
lingbot_vla,place_relative,7,100047,front,failure,0,400,400,action_limit,Use the left arm to grab the blue soap and place it in front of the brown coffee-box,reused,lingbot_vla/place_relative/place_relative_ep100047_result.json,ac0118d83a9c9e50aa0c5b4a25cc718530f4a385da0597961655e168ff436d99
lingbot_vla,place_relative,7,100048,back,failure,0,400,400,action_limit,Grab the blue soap and set it behind the brown coffee-box,reused,lingbot_vla/place_relative/place_relative_ep100048_result.json,24624c2dae3c523eeb3bb4d47a9da448fc15b247e9cfe5fcbb3ccc9f66680147
lingbot_vla,place_relative,8,100052,front,failure,0,400,400,action_limit,Use the right arm to grab the gray mouse and place it in front of the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100052_result.json,19b8ca457a37bd206ce4e81bcc749ee2c5d41139fc4dd373ce6112c4f58a5118
lingbot_vla,place_relative,8,100053,back,failure,0,400,400,action_limit,Use the right arm to grab the gray mouse and place it behind the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100053_result.json,98a15455d2958dd613e83ab6ce2aa048696a531d9c427a6bc422f9e91a158d87
lingbot_vla,place_relative,9,100057,front,failure,0,400,400,action_limit,"Use the left arm to pick up the green toycar, set it in front of the red tea-box",reused,lingbot_vla/place_relative/place_relative_ep100057_result.json,cd35efc2fd2393b9e5253e72ef9471c83ea686d79ce673a3ceb6bef15ed0b99f
lingbot_vla,place_relative,9,100058,back,failure,0,400,400,action_limit,Use the left arm to grab the green toycar and place it behind the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100058_result.json,549d57f3d6d6c30cbf09c2a0b666c9ddb6a6ed6f6c64a8ad2058767ab44a4452
lingbot_vla,place_relative,10,100062,front,failure,0,400,400,action_limit,Relocate the red stapler in front of the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100062_result.json,efe22f3abde557a0aeceeed81b56a6692b7a9fe27f100e87f2e5c086cec32ded
lingbot_vla,place_relative,10,100063,back,failure,0,400,400,action_limit,"Use the left arm to pick up the red stapler, set it behind the red tea-box",reused,lingbot_vla/place_relative/place_relative_ep100063_result.json,ec7615f61871e43f3c7547002e88f92481bad0b02d23266c17871646e7934bed
lingbot_vla,place_relative,11,100067,front,failure,0,400,400,action_limit,Pick up the black remotecontrol and move it in front of the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100067_result.json,99fbcb8a7a689db21d95d61348b8f79327bfbd8fa2c09ffd4ca81e888e68c021
lingbot_vla,place_relative,11,100068,back,failure,0,400,400,action_limit,Use the left arm to grab the black remotecontrol and place it behind the red tea-box,reused,lingbot_vla/place_relative/place_relative_ep100068_result.json,0f2c2aa1e0c0181ad05eb3eb9f21bfef150a92885515130e3a7aad9ebbed9730
lingbot_vla,place_relative,12,100072,front,failure,0,400,400,action_limit,Grab the red can and set it in front of the red tea-box,new,lingbot_vla/place_relative/place_relative_ep100072_result.json,dd99970f77a123c0dec311bcb05ba3f1352d325f2f42321b0c783306996e1c71
lingbot_vla,place_relative,12,100073,back,failure,0,400,400,action_limit,Lift the red can and set it behind the red tea-box,new,lingbot_vla/place_relative/place_relative_ep100073_result.json,aa16289aabc77c4294219e95283221a580acb5e9dd813929779be9b4791307b5
lingbot_vla,place_relative,13,100077,front,failure,0,400,400,action_limit,Lift the blue soap and set it in front of the red tea-box,new,lingbot_vla/place_relative/place_relative_ep100077_result.json,44bd412686d14847e9abc3dfeb42bed4110cb9b8a64550c9301e6759ca9c6740
lingbot_vla,place_relative,13,100078,back,failure,0,400,400,action_limit,Pick up the blue soap and move it behind the red tea-box,new,lingbot_vla/place_relative/place_relative_ep100078_result.json,17f891f683b126e528b8de762b49bd1d1beb2063054ff6b84abffe52e0f44e08
